N,P,K,temperature,humidity,ph,rainfall,crop
78.75,42.44,15.47,18.51,72.29,6.78,149.98,maize
99.87,46.66,25.38,26.5,71.99,6.1,117.03,maize
65.17,58.62,22.12,20.06,68.43,6.54,111.49,maize
64.54,50.15,20.41,24.95,65.4,6.82,123.11,maize
82.44,56.3,18.07,19.21,55.58,6.71,127.22,maize
88.16,36.39,12.73,18.13,62.01,6.51,113.53,maize
77.5,57.12,16.97,22.63,70.67,6.28,127.33,maize
94.49,58.49,12.94,26.34,64.84,6.11,117.55,maize
99.2,44.78,16.58,23.7,59.8,5.89,97.73,maize
65.12,34.56,12.78,23.77,58.64,6.21,143.81,maize
78.96,50.03,13.45,19.73,55.82,6.0,106.72,maize
67.08,32.66,12.41,22.15,59.13,6.24,120.21,maize
87.62,31.18,25.99,23.65,56.64,6.85,145.25,maize
62.44,38.31,26.12,24.73,58.69,6.05,112.23,maize
79.38,48.55,17.38,22.16,69.95,5.84,105.15,maize
88.53,56.86,20.23,22.79,57.14,6.34,121.96,maize
69.7,38.08,17.55,18.18,61.44,6.05,109.65,maize
64.79,56.72,21.87,24.11,70.78,6.4,95.22,maize
81.48,47.61,24.91,21.88,57.55,6.14,111.78,maize
85.84,47.12,17.12,26.88,67.12,6.08,96.11,maize
66.11,37.38,13.21,19.68,60.7,6.01,143.81,maize
63.21,45.74,18.21,26.84,57.24,6.28,148.17,maize
94.62,54.51,15.16,19.54,68.37,6.92,123.41,maize
82.86,38.4,25.39,19.68,61.47,6.31,120.46,maize
69.7,33.45,22.21,20.6,66.62,5.99,118.87,maize
101.3,31.55,40.1,12.02,56.27,7.48,62.89,wheat
112.39,37.64,50.45,21.4,66.91,6.71,66.47,wheat
93.95,57.89,54.92,24.48,57.49,7.1,87.53,wheat
87.25,31.99,52.23,18.62,71.84,6.21,81.81,wheat
88.07,34.91,34.93,22.22,68.3,6.78,64.35,wheat
115.09,41.77,54.5,16.59,62.54,6.69,62.06,wheat
109.9,45.08,36.97,23.49,62.68,6.82,86.26,wheat
104.97,33.51,58.19,19.42,61.7,6.21,81.76,wheat
104.8,46.0,56.82,21.83,58.03,6.47,59.94,wheat
109.76,31.01,47.1,21.44,72.54,6.51,82.85,wheat
84.43,55.39,33.82,15.96,70.95,6.22,59.17,wheat
108.89,51.6,49.23,20.41,65.85,6.38,63.83,wheat
87.26,57.25,47.5,16.01,64.24,7.42,56.13,wheat
103.45,45.18,48.34,10.27,72.44,7.4,72.61,wheat
107.87,57.67,51.22,12.29,66.53,6.91,66.97,wheat
109.46,58.03,57.77,16.76,57.26,7.48,83.56,wheat
84.99,57.63,56.1,17.78,66.83,6.6,52.19,wheat
93.41,54.09,30.14,15.0,62.96,6.81,86.79,wheat
93.85,40.41,52.13,16.78,59.49,6.68,55.63,wheat
87.06,44.95,42.57,23.72,62.25,6.87,75.29,wheat
80.52,49.91,35.34,24.42,57.97,6.62,53.41,wheat
119.87,45.07,47.86,11.01,70.0,6.31,85.92,wheat
88.21,35.72,31.1,17.08,66.3,6.1,81.02,wheat
98.13,45.73,43.22,16.01,66.19,6.23,57.28,wheat
114.47,58.38,41.2,14.06,67.88,6.61,51.02,wheat
86.25,51.48,49.77,10.41,59.44,6.35,76.88,wheat
80.79,33.12,54.0,12.68,68.05,6.36,53.98,wheat
89.73,51.67,55.67,22.45,62.94,7.0,58.2,wheat
91.73,56.89,30.39,11.28,59.16,6.04,57.26,wheat
103.32,42.64,56.78,22.26,61.84,6.39,65.19,wheat
103.61,38.04,48.72,16.14,66.04,6.65,61.78,wheat
117.94,52.91,34.2,23.03,64.75,7.34,81.99,wheat
97.01,30.67,38.06,18.12,67.67,6.39,55.57,wheat
113.4,59.53,45.77,12.58,60.45,6.03,86.57,wheat
84.71,47.3,38.22,18.31,68.03,7.24,58.26,wheat
80.44,34.11,57.0,23.11,66.95,6.9,76.6,wheat
87.01,57.43,42.56,15.75,65.38,6.07,56.65,wheat
109.52,32.48,48.09,13.68,62.79,6.43,64.23,wheat
108.76,38.91,46.99,17.14,68.27,7.41,79.3,wheat
88.6,30.94,37.87,18.93,56.03,6.74,73.87,wheat
93.37,53.13,33.2,11.13,69.56,6.74,77.54,wheat
97.39,37.39,54.57,21.99,68.89,6.41,73.61,wheat
94.44,32.75,57.52,12.05,74.0,6.67,57.41,wheat
101.68,56.19,51.97,22.1,68.18,7.04,83.97,wheat
89.99,44.68,36.64,24.82,73.88,6.06,78.22,wheat
117.01,35.42,47.04,23.73,55.68,7.05,61.89,wheat
116.98,59.13,58.33,17.11,72.24,7.27,62.76,wheat
113.16,31.11,47.89,13.45,57.41,6.12,77.85,wheat
93.59,51.74,31.96,14.73,65.79,7.19,62.75,wheat
105.04,56.58,48.48,13.49,55.49,7.31,50.85,wheat
134.99,45.87,58.78,27.99,89.96,6.53,188.36,sugarcane
116.08,44.4,52.55,28.74,89.68,7.15,170.89,sugarcane
116.85,52.13,44.78,21.1,77.09,6.43,164.82,sugarcane
109.34,31.26,40.36,29.88,78.56,6.58,183.98,sugarcane
108.73,58.5,55.73,20.89,78.35,7.32,197.24,sugarcane
118.7,48.4,43.34,29.91,74.63,7.41,182.48,sugarcane
124.31,45.38,44.61,21.77,74.41,6.28,188.98,sugarcane
114.01,31.74,59.38,28.84,88.56,7.49,158.69,sugarcane
115.85,52.75,53.92,21.54,86.32,6.34,161.19,sugarcane
121.48,47.79,51.6,20.91,87.55,6.4,156.48,sugarcane
135.55,58.67,57.24,28.1,83.1,6.83,154.35,sugarcane
116.34,41.18,45.2,27.23,79.92,6.12,161.01,sugarcane
127.33,32.28,57.02,24.95,79.61,6.89,191.23,sugarcane
113.91,50.34,51.31,22.67,87.57,7.2,182.92,sugarcane
134.02,56.02,54.17,28.37,83.95,7.02,180.93,sugarcane
130.11,34.76,57.62,28.72,70.58,7.24,156.44,sugarcane
113.4,52.31,43.22,28.18,86.64,6.76,150.32,sugarcane
111.48,48.51,59.62,26.32,75.2,6.95,177.0,sugarcane
131.19,33.21,55.22,25.41,89.26,6.51,181.63,sugarcane
137.28,33.08,58.74,26.88,71.36,6.45,185.41,sugarcane
102.69,47.47,46.92,26.21,70.91,7.31,198.67,sugarcane
138.76,52.49,42.6,27.58,70.49,6.03,166.18,sugarcane
119.55,53.11,53.67,24.46,75.47,7.5,171.31,sugarcane
118.06,34.91,55.9,26.94,74.42,6.12,184.02,sugarcane
126.18,38.2,59.02,21.51,78.65,7.42,170.99,sugarcane
125.54,41.93,45.48,29.84,78.19,7.34,161.5,sugarcane
108.52,30.93,53.03,23.69,87.29,6.71,198.41,sugarcane
107.42,56.06,55.53,27.71,86.9,7.14,181.31,sugarcane
105.25,30.98,58.42,26.17,85.93,6.72,155.87,sugarcane
105.01,50.57,48.61,22.01,79.83,6.1,179.1,sugarcane
110.76,53.93,46.21,24.55,70.23,6.11,169.62,sugarcane
119.2,48.0,45.83,26.95,87.2,7.17,151.98,sugarcane
119.22,33.15,44.84,29.87,72.85,6.75,180.91,sugarcane
128.1,46.79,40.2,23.26,80.35,6.13,167.53,sugarcane
101.33,32.36,47.94,21.33,81.35,7.03,190.03,sugarcane
108.01,35.02,42.09,26.36,84.13,6.05,196.81,sugarcane
102.08,46.24,54.18,28.71,84.28,7.2,166.97,sugarcane
132.59,32.4,57.9,25.48,86.35,6.68,182.18,sugarcane
121.06,51.95,41.63,20.6,74.94,6.24,193.59,sugarcane
108.77,59.28,46.74,21.82,85.79,6.99,174.91,sugarcane
122.21,51.58,44.57,29.96,89.5,6.98,159.98,sugarcane
127.21,32.17,40.61,22.58,79.25,7.3,186.36,sugarcane
129.71,42.76,46.92,23.71,89.75,6.06,193.35,sugarcane
123.15,43.16,54.51,24.87,87.47,7.35,171.09,sugarcane
111.07,47.77,58.25,22.11,82.46,6.95,186.66,sugarcane
105.26,51.47,58.18,21.8,74.75,7.46,159.05,sugarcane
134.18,44.77,44.94,28.71,78.91,6.77,167.96,sugarcane
123.72,34.91,47.82,29.69,75.16,6.99,166.26,sugarcane
130.94,33.93,59.4,24.54,74.72,6.11,158.49,sugarcane
120.79,40.11,56.58,24.31,74.97,6.93,185.34,sugarcane
106.68,35.03,10.73,32.36,68.28,6.37,92.21,cotton
132.23,47.56,27.37,27.06,57.24,6.12,52.85,cotton
121.25,58.1,10.79,26.22,64.04,6.92,65.81,cotton
120.29,31.25,12.97,34.87,74.3,5.81,97.59,cotton
125.56,56.04,19.09,30.16,64.78,6.6,56.98,cotton
101.2,39.24,24.09,27.02,68.47,6.96,54.7,cotton
126.9,43.31,27.36,26.77,68.85,6.81,97.23,cotton
127.33,44.92,22.36,33.69,66.41,5.84,96.55,cotton
127.58,50.3,14.31,31.59,62.88,6.58,55.33,cotton
126.31,59.98,10.96,34.77,63.14,6.84,89.12,cotton
122.68,52.15,27.57,29.04,61.54,6.6,90.39,cotton
130.49,53.93,18.71,33.18,57.4,6.45,50.29,cotton
112.98,40.99,17.92,31.95,62.77,6.34,61.88,cotton
114.93,36.82,11.46,31.03,68.36,6.54,73.17,cotton
115.19,55.9,20.38,29.79,55.51,6.21,69.01,cotton
115.95,47.41,20.67,31.08,70.3,6.78,85.91,cotton
138.22,30.55,13.92,25.08,67.95,6.88,62.17,cotton
137.08,31.81,28.69,28.52,57.03,6.38,62.84,cotton
111.39,39.22,26.06,30.39,61.23,6.53,85.81,cotton
110.9,42.41,12.44,26.81,68.62,6.02,76.26,cotton
128.36,33.21,21.35,27.57,74.26,6.38,90.3,cotton
122.01,31.3,22.66,34.51,67.03,6.78,94.21,cotton
109.12,36.36,22.22,29.11,71.8,6.88,67.67,cotton
109.47,53.42,15.5,33.23,63.47,6.6,54.78,cotton
124.95,43.55,21.73,26.68,69.74,6.84,60.84,cotton
103.83,30.71,22.84,31.07,65.93,6.08,69.55,cotton
123.78,44.9,29.76,26.36,68.9,6.29,71.41,cotton
128.7,50.77,29.83,26.28,57.08,6.67,78.92,cotton
110.97,32.38,11.71,33.94,58.84,6.19,61.33,cotton
114.2,32.08,20.38,25.68,71.01,6.08,77.0,cotton
135.2,49.53,20.66,28.24,61.66,6.6,99.71,cotton
126.47,46.73,24.61,29.65,56.2,6.47,97.88,cotton
107.01,50.7,14.02,30.36,56.93,6.34,87.81,cotton
113.9,49.95,25.91,34.27,59.69,6.28,57.62,cotton
139.7,57.81,20.8,33.42,65.42,6.55,54.46,cotton
130.21,33.83,26.52,32.82,69.17,5.84,65.16,cotton
110.52,40.8,11.75,34.37,66.08,6.17,69.85,cotton
117.89,48.02,20.31,34.19,64.94,6.99,92.57,cotton
108.34,57.92,12.33,33.17,62.61,6.85,93.4,cotton
132.24,53.7,16.09,25.81,63.06,6.01,84.75,cotton
113.84,59.27,22.82,33.22,57.65,6.83,96.14,cotton
119.48,48.19,25.3,26.75,65.05,6.28,57.32,cotton
114.7,32.05,10.52,26.35,74.26,6.46,98.29,cotton
117.3,39.35,20.12,29.4,57.11,6.57,60.8,cotton
124.78,49.51,13.04,25.61,70.62,6.35,52.91,cotton
139.79,31.73,23.9,34.84,59.78,5.97,56.07,cotton
112.13,33.03,23.84,25.62,65.19,7.0,90.7,cotton
124.61,39.19,22.48,30.27,63.52,5.96,94.33,cotton
117.99,35.84,17.36,29.14,71.55,6.68,88.47,cotton
100.44,42.48,19.63,25.19,60.2,6.71,56.86,cotton
101.41,66.46,40.24,26.96,89.52,6.3,217.57,banana
99.51,63.29,50.96,27.82,86.89,5.6,189.29,banana
86.0,69.74,54.75,27.9,77.52,5.89,187.57,banana
111.4,86.76,59.11,29.15,76.31,6.19,186.26,banana
90.19,85.23,40.77,29.61,79.23,6.14,199.56,banana
115.8,79.1,52.28,26.27,80.37,5.65,204.25,banana
100.49,80.41,40.83,26.34,84.33,5.57,164.28,banana
80.48,88.7,54.75,27.41,75.93,5.85,206.48,banana
106.45,65.56,43.48,26.39,83.21,6.26,175.9,banana
80.84,62.47,59.36,27.18,85.38,6.12,182.92,banana
88.23,63.64,52.3,29.1,82.88,6.03,162.52,banana
118.74,83.96,45.86,29.92,82.04,6.08,204.88,banana
112.47,79.69,42.56,27.35,88.56,5.72,182.33,banana
97.28,73.18,52.26,29.77,74.81,5.62,171.85,banana
115.48,79.37,45.72,29.26,87.23,6.35,215.14,banana
90.09,82.65,49.21,29.37,84.57,6.28,199.37,banana
87.1,76.35,59.69,29.75,70.86,5.66,167.9,banana
109.04,84.53,44.27,28.02,86.81,6.23,192.53,banana
103.61,75.25,45.95,28.26,83.78,6.37,198.18,banana
110.44,64.8,49.23,26.04,74.93,6.23,219.51,banana
83.97,72.04,56.0,26.82,81.1,6.23,196.96,banana
87.52,70.66,55.68,28.22,70.1,6.26,162.12,banana
109.83,66.07,59.16,27.47,76.54,5.65,178.34,banana
115.07,89.89,47.37,27.79,84.44,6.39,195.58,banana
95.66,72.38,53.91,26.01,82.39,5.86,207.65,banana
83.72,77.65,49.62,28.57,71.3,6.08,193.69,banana
102.43,78.1,53.53,29.22,75.4,6.33,189.9,banana
83.08,61.76,46.68,29.14,84.15,6.29,191.04,banana
97.61,64.42,46.56,27.74,71.77,5.72,195.89,banana
109.43,89.95,58.66,28.57,78.42,6.14,207.14,banana
84.73,72.3,56.8,27.54,81.44,6.09,171.07,banana
94.49,70.04,40.52,26.1,86.63,5.77,191.08,banana
91.95,88.22,45.19,27.72,87.45,6.34,171.17,banana
112.11,73.75,49.66,26.53,71.61,6.23,189.79,banana
97.47,81.89,55.31,26.64,82.2,5.64,205.08,banana
106.28,88.7,41.38,26.23,75.64,5.76,174.82,banana
116.25,67.49,45.44,29.04,78.99,6.28,163.92,banana
99.5,61.01,41.25,29.63,72.78,6.03,184.67,banana
93.89,87.0,40.44,28.66,89.27,6.06,216.21,banana
82.09,72.56,45.2,28.92,89.63,5.76,199.25,banana
87.92,76.96,49.28,29.89,82.17,5.85,166.85,banana
86.05,66.76,45.02,29.4,81.22,6.02,166.89,banana
114.41,81.68,41.35,28.83,80.87,5.58,187.5,banana
99.39,64.97,58.91,29.4,83.38,5.96,184.71,banana
106.04,76.36,41.25,28.05,86.13,5.96,163.12,banana
111.45,66.04,45.17,26.66,76.6,6.26,191.16,banana
88.2,86.33,57.59,29.48,74.78,5.95,219.1,banana
110.88,60.82,41.3,27.86,88.18,6.04,189.87,banana
84.22,79.7,56.44,27.52,85.51,6.46,172.23,banana
100.93,68.61,55.86,28.31,82.69,6.3,183.76,banana
28.3,28.0,23.16,28.18,55.87,6.13,225.01,mango
28.12,24.15,39.67,24.84,44.04,5.87,231.45,mango
23.09,22.28,28.81,27.69,41.67,7.26,215.63,mango
20.1,34.51,28.36,29.9,53.36,6.77,104.04,mango
27.64,26.41,23.24,24.08,51.2,6.55,200.89,mango
27.81,21.19,34.63,25.12,57.16,7.14,169.64,mango
24.2,24.72,29.42,28.93,49.19,6.22,161.49,mango
26.56,25.03,23.48,28.27,56.52,5.7,116.98,mango
12.84,25.22,29.01,28.49,53.02,6.74,136.67,mango
26.83,27.07,39.58,27.8,42.53,6.85,131.89,mango
23.73,21.04,23.5,29.13,44.54,7.17,123.87,mango
22.86,30.41,30.25,25.83,44.25,5.57,128.19,mango
23.06,34.07,37.42,28.6,55.77,6.83,120.55,mango
28.14,30.06,31.21,24.67,48.94,6.42,226.3,mango
20.93,25.71,39.54,24.66,48.45,5.58,204.48,mango
28.36,24.2,37.17,25.75,58.22,7.01,215.86,mango
10.36,34.44,34.53,25.83,56.59,6.06,227.73,mango
12.25,30.56,30.81,24.58,44.84,5.52,157.03,mango
16.03,28.98,25.94,25.8,54.86,5.6,233.01,mango
27.05,30.02,31.86,29.35,43.71,5.66,116.91,mango
25.89,20.52,31.66,29.97,57.11,6.54,86.14,mango
26.63,28.98,22.3,24.56,58.19,6.84,220.13,mango
27.58,28.58,30.35,26.58,46.34,6.37,210.43,mango
22.04,33.39,28.87,27.64,52.63,6.68,197.96,mango
14.75,27.69,22.08,26.31,49.75,6.8,241.34,mango
22.01,31.15,30.13,27.8,41.42,6.01,138.32,mango
19.45,20.68,22.8,25.66,59.43,6.16,159.36,mango
13.92,29.16,25.61,25.24,50.33,5.51,76.34,mango
14.38,20.55,22.16,26.03,56.05,6.64,164.72,mango
15.87,33.98,27.94,24.52,52.34,5.73,135.41,mango
20.15,33.11,29.87,28.21,59.86,5.76,123.08,mango
17.89,26.33,28.22,29.45,54.28,6.72,129.14,mango
26.48,34.33,36.42,24.01,52.73,5.6,120.08,mango
11.19,29.06,33.73,24.69,47.68,6.41,139.58,mango
12.42,26.28,35.02,24.43,41.6,6.21,239.8,mango
23.37,30.18,27.24,27.56,40.2,6.77,234.83,mango
22.25,33.11,34.48,24.72,58.05,5.63,168.44,mango
12.84,20.18,28.44,25.77,49.72,6.65,82.65,mango
12.46,28.38,26.86,28.38,53.05,7.19,196.19,mango
18.6,30.09,25.51,25.84,55.78,6.39,214.72,mango
26.45,32.86,38.33,26.59,46.38,6.66,139.96,mango
22.02,30.58,33.77,26.25,43.34,6.36,99.95,mango
27.8,25.19,23.09,24.15,52.92,6.77,134.61,mango
11.43,26.14,26.22,28.06,52.12,6.23,113.13,mango
29.76,26.81,33.77,24.84,49.71,5.56,163.45,mango
29.28,25.76,20.78,24.19,47.76,5.82,79.09,mango
25.12,26.88,25.78,29.4,42.32,7.41,129.94,mango
27.77,29.04,36.53,29.9,45.77,7.42,143.16,mango
17.71,25.11,30.83,24.92,51.07,6.58,208.33,mango
26.67,26.61,26.05,25.56,43.89,5.62,134.93,mango
15.4,14.66,10.58,20.08,90.8,5.94,94.98,apple
22.52,9.89,9.02,23.96,93.8,6.42,100.62,apple
22.41,7.01,8.95,18.24,89.76,6.34,85.25,apple
29.28,14.09,12.22,21.2,93.7,5.93,110.57,apple
12.5,12.94,7.76,23.26,94.44,5.95,95.82,apple
29.62,9.83,13.64,21.53,88.75,6.09,84.15,apple
25.24,8.87,10.11,20.95,90.77,6.67,119.13,apple
18.15,13.28,12.65,21.44,94.56,6.0,79.92,apple
27.08,9.39,13.47,23.36,85.62,6.68,95.17,apple
20.21,11.27,14.26,18.11,89.77,6.49,107.52,apple
23.85,6.34,7.99,20.15,93.04,6.08,84.48,apple
29.15,5.09,14.98,22.06,93.28,6.09,75.64,apple
24.76,13.34,12.4,18.86,92.53,6.57,104.63,apple
25.32,13.46,11.14,18.53,89.88,5.88,93.34,apple
18.14,5.66,8.49,18.67,93.08,6.75,78.25,apple
29.1,10.23,8.0,18.46,90.01,6.59,106.82,apple
11.0,5.73,9.03,19.77,87.32,6.08,111.16,apple
28.58,9.05,14.06,19.93,89.76,6.03,103.82,apple
29.58,11.03,8.58,21.89,86.23,6.69,97.64,apple
18.99,10.86,11.25,18.43,91.83,6.04,107.13,apple
26.45,13.04,10.53,21.12,86.43,6.58,87.21,apple
19.93,7.84,6.34,21.78,85.54,6.55,89.29,apple
10.0,10.11,5.47,19.66,92.07,5.86,112.77,apple
10.08,7.47,12.41,19.9,86.02,6.16,87.17,apple
26.85,8.13,12.89,23.35,89.34,6.71,91.98,apple
29.28,5.89,11.87,20.96,88.88,6.43,106.67,apple
10.09,6.67,12.13,22.0,94.66,6.56,117.78,apple
24.05,7.98,6.05,22.69,91.44,5.85,91.2,apple
29.14,10.0,9.33,20.75,87.09,6.17,91.64,apple
11.05,12.68,9.17,22.93,93.5,6.01,104.58,apple
19.45,13.8,7.16,22.07,91.08,6.1,81.15,apple
23.03,12.39,8.16,21.87,88.95,6.51,83.96,apple
27.8,7.87,8.68,18.35,86.12,6.32,87.04,apple
26.71,5.15,8.79,20.02,85.19,5.92,93.61,apple
19.86,9.04,10.31,21.57,85.1,6.26,118.36,apple
20.38,11.78,8.12,22.64,92.73,6.32,118.92,apple
12.51,5.17,12.7,22.84,86.2,6.07,75.79,apple
15.87,12.73,10.18,20.09,88.72,5.8,88.49,apple
22.93,14.74,13.47,18.14,93.99,6.58,110.12,apple
19.16,8.98,8.03,18.39,87.28,6.05,96.78,apple
24.95,9.74,5.58,23.75,94.43,6.59,119.61,apple
20.89,14.63,5.76,20.19,87.25,6.0,81.34,apple
22.45,12.81,10.78,18.88,93.11,6.44,92.47,apple
23.48,7.6,8.45,23.5,87.91,6.27,115.06,apple
24.15,5.62,6.47,18.05,91.31,6.25,81.04,apple
29.16,10.3,7.42,21.0,91.8,5.88,87.36,apple
26.14,9.6,10.47,20.6,85.44,5.97,95.05,apple
14.18,5.5,13.44,23.89,92.93,6.65,85.89,apple
29.21,6.97,14.51,23.97,92.12,6.78,100.63,apple
15.19,9.37,10.94,18.44,91.22,6.78,83.55,apple
25.85,14.08,14.44,28.56,90.21,6.48,137.87,orange
13.23,9.77,12.18,20.72,91.41,6.17,108.13,orange
21.3,12.72,9.99,18.13,85.09,5.86,146.31,orange
14.57,11.34,7.22,21.54,93.48,6.23,104.77,orange
18.57,5.29,9.81,25.29,86.19,5.79,119.89,orange
28.39,14.93,5.45,26.37,88.72,5.89,137.71,orange
28.37,14.51,10.77,21.93,92.88,5.75,128.2,orange
17.17,11.57,7.4,20.11,94.18,5.6,125.3,orange
14.42,5.39,5.36,19.93,93.67,5.78,147.52,orange
21.63,9.37,10.8,23.68,92.59,5.78,117.65,orange
27.88,14.46,13.93,22.61,92.8,5.98,124.88,orange
14.09,10.91,6.86,21.65,93.55,5.71,103.56,orange
11.38,14.41,10.07,22.5,93.11,6.34,116.61,orange
23.87,12.71,11.55,19.67,93.76,6.04,114.12,orange
18.5,5.38,6.28,26.42,85.0,5.92,126.13,orange
11.09,14.73,7.26,21.35,88.04,5.73,100.07,orange
24.59,14.67,7.24,25.29,92.42,6.35,121.13,orange
16.06,8.25,12.13,26.98,86.82,5.87,145.1,orange
26.13,14.85,12.54,22.33,90.91,6.16,103.92,orange
20.89,12.09,6.67,26.59,90.84,6.45,102.12,orange
15.31,11.02,7.97,25.86,92.59,5.6,125.69,orange
20.18,8.69,14.33,27.1,91.97,6.21,123.09,orange
28.42,11.95,12.29,27.48,87.74,6.31,109.76,orange
16.91,8.36,14.79,27.42,92.01,6.23,128.1,orange
28.94,9.96,8.81,19.79,92.86,6.23,119.22,orange
10.5,13.39,5.11,25.74,94.7,5.94,111.75,orange
24.1,13.17,10.46,28.64,85.52,6.0,135.92,orange
27.25,6.79,13.0,24.08,88.97,5.63,143.26,orange
13.15,8.1,7.9,27.59,91.73,6.3,112.52,orange
22.5,10.72,13.33,27.97,85.12,6.17,102.59,orange
20.98,7.88,8.07,21.88,91.21,5.83,136.63,orange
18.09,5.68,12.84,21.14,89.33,6.19,116.62,orange
11.13,8.74,14.44,25.06,91.71,6.13,109.95,orange
18.37,12.51,6.01,21.06,87.76,5.93,149.02,orange
11.35,10.19,6.79,28.68,86.13,5.9,136.89,orange
24.09,9.23,8.47,22.37,87.64,5.71,124.15,orange
15.37,7.87,11.57,28.65,91.04,5.58,103.78,orange
29.03,7.97,5.92,24.59,91.24,6.15,113.37,orange
10.3,14.65,7.51,25.44,92.07,6.11,115.65,orange
15.42,10.98,13.66,28.41,86.06,5.65,147.24,orange
24.73,13.83,7.03,24.46,92.01,6.18,120.41,orange
